measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1990,60.76961248608273,63.062428807287674,58.19198086850072
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2009,62.92963177666791,64.97727581805142,60.580418852964755
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2009,67.0739906934408,69.62609697420758,64.13616264971981
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2009,67.4865633598489,69.88064645793304,64.65381982568597
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2009,70.6708479669564,73.61435975877141,67.19753661328384
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2009,55.29454873082194,57.33274490721503,53.11023711196499
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2009,57.31706883953731,59.81124737570835,54.53682170503496
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2009,52.914726171695264,54.880061411040714,50.80138526420532
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2009,54.01085836863232,56.33846489503853,51.39572866915161
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2009,62.20631496293771,64.08713660812782,59.98880194160178
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2009,65.57275125102035,67.9572547265742,62.77249022307928
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1993,58.603861387726155,60.47825648897889,56.55233888253378
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1993,63.23326859827738,65.52620331392569,60.58417081374141
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1993,64.28514414946063,66.43163813220492,61.70033866498736
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1993,68.39551612777426,71.16808597712671,65.09605024081628
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1993,51.940869245517604,53.83450256220846,49.79888561792672
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1993,53.03983512236746,55.38958193636548,50.411014904073674
