measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1997,59.74129017546529,61.57888162778102,57.64785588236553
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1997,62.73550536941487,65.00076885966408,60.10802724267063
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2013,63.987981550133114,66.09201205241372,61.600446924007386
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2013,67.80026853375387,70.3797845987406,64.82617252544463
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2013,68.08027040024294,70.5317650883953,65.16812953531759
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2013,71.03329935268252,74.00397248938611,67.48077495904191
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2013,56.58594406833393,58.68416503350576,54.306546178345975
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2013,58.849213241378926,61.38230754877306,55.95518361679664
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2013,54.640402046559174,56.706724451926526,52.39511326330182
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2013,55.876623291042,58.30479597566647,53.12255105294253
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2013,62.95508571185287,64.93874510821946,60.66386014365911
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2013,66.25744646378139,68.70950540034772,63.398441300441434
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2005,61.35182385179015,63.28568050432082,59.13407912759862
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2005,65.94885471314693,68.415299383234,63.09728291477646
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2005,66.77811656917301,69.0663095762235,64.04193019077334
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2005,70.1980754184836,73.0766889510832,66.81599230171464
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2005,54.149204954682894,56.11469921267796,52.063108976411094
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2005,55.76845212634986,58.159921580454906,53.142444128974134
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2005,51.43899569093636,53.40001752122068,49.35418760694561
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2005,51.957712748407666,54.240662797772245,49.44815359890472
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2005,61.49210295026489,63.337727037918285,59.374509360625936
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2005,64.6656833995585,66.96224266236567,61.961879136490424
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1995,58.667057475977614,60.54326459433354,56.64605259960342
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1995,63.4797745398805,65.81697286399819,60.79100094152751
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1995,64.5965565735219,66.76037658702799,61.99161122662404
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1995,68.65896749293638,71.44387953902697,65.37030330191924
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1995,52.234095625842286,54.12746702401034,50.087386021895256
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1995,53.37953885207513,55.724831822998716,50.82111004612659
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1995,47.57727916467579,49.439381761481826,45.56783004326683
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1995,47.86863125311317,50.03618912534911,45.40671827189931
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1995,59.38284233759321,61.18423926931446,57.323712331531496
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1995,62.23746720074544,64.49281658913416,59.61531138193625
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2003,60.856417740707855,62.775373607012604,58.6889437193887
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2003,65.469152500255,67.89655603434139,62.642955549941746
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2003,66.34651566085891,68.61429566721618,63.65530510644891
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2003,69.83512615395628,72.668981174551,66.47766819776992
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2003,53.70846714507687,55.64390550091649,51.61832778325866
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2003,55.13036491469805,57.48078513662825,52.57351015306009
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2003,50.493143745700685,52.443257357636426,48.36636961584218
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2003,50.93793707667494,53.21142037125914,48.42201972575006
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2003,61.004168689687326,62.85512168340991,58.854346304317644
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2003,64.17058018193586,66.47545446059402,61.47710822780021
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2011,63.403751091162135,65.46951865795953,61.045344861542866
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2011,67.4038066625562,69.95794167589253,64.44340983984816
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2011,67.79191294200305,70.21457817782539,64.9255271208249
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2011,70.82547403554068,73.78114749066594,67.32004786129957
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2011,55.900176467321685,57.95030373621521,53.66233159944816
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2011,58.06773640333129,60.597129912657024,55.30162252258783
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2011,53.681928092130356,55.65840079706282,51.4634328716005
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2011,54.88757421385973,57.21155141429163,52.2272216235497
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2011,62.580833745203826,64.5070921113404,60.333730166197775
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2011,65.9426345821916,68.37378799841834,63.08336746923143
