measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Low SDI,Female,<1 year,Years,1991,54.93863617839202,55.51108868521279,54.39781999208682
Life expectancy,Middle SDI,Male,<1 year,Years,2009,70.05774756231297,70.28202111746187,69.81598589807591
Life expectancy,Middle SDI,Female,<1 year,Years,2009,75.643409413483,75.83699313629947,75.43237637991524
Life expectancy,Middle SDI,Male,<1 year,Years,2000,67.79898984550114,68.0350793448625,67.55465036676
Life expectancy,Middle SDI,Female,<1 year,Years,2000,72.9623571056675,73.17499626195281,72.74950808229977
Life expectancy,High-middle SDI,Male,<1 year,Years,2006,69.97893303740925,70.14659591628433,69.81579861044098
Life expectancy,High-middle SDI,Female,<1 year,Years,2006,76.69982128015758,76.82073969485928,76.57610811290147
Life expectancy,High SDI,Male,<1 year,Years,2006,76.6362053993312,76.65627780456938,76.61538633957362
Life expectancy,High SDI,Female,<1 year,Years,2006,82.3664678761652,82.38551822889083,82.3475297656917
Life expectancy,Low-middle SDI,Male,<1 year,Years,2006,62.335002331218526,62.79691095869642,61.850071441047106
Life expectancy,Low-middle SDI,Female,<1 year,Years,2006,65.87846387022671,66.30763086167889,65.43219827372458
Life expectancy,Low SDI,Male,<1 year,Years,2006,59.580006470436075,59.98704870577723,59.13220923965642
Life expectancy,Low SDI,Female,<1 year,Years,2006,61.8776278859791,62.26998438056882,61.46495866150338
Life expectancy,Middle SDI,Male,<1 year,Years,2001,68.14000978429874,68.37955201677481,67.90731820058302
Life expectancy,Middle SDI,Female,<1 year,Years,2001,73.31203614938863,73.53607720212732,73.0988078594897
Life expectancy,Middle SDI,Male,<1 year,Years,2015,71.28808623706324,71.61761308323567,70.98753616103973
Life expectancy,Middle SDI,Female,<1 year,Years,2015,76.81978008794104,77.07629203856803,76.53461516243225
Life expectancy,Middle SDI,Male,<1 year,Years,1999,67.56201898906339,67.79951933007659,67.31811046424919
Life expectancy,Middle SDI,Female,<1 year,Years,1999,72.69037011106923,72.90966243226744,72.47228191918514
Life expectancy,Middle SDI,Male,<1 year,Years,1993,66.34492756939302,66.66048030708825,66.03618701433952
Life expectancy,Middle SDI,Female,<1 year,Years,1993,70.9863471426062,71.23339729566935,70.72653549797391
Life expectancy,Middle SDI,Male,<1 year,Years,1992,66.1243066273138,66.46148545331585,65.76839015932738
Life expectancy,Middle SDI,Female,<1 year,Years,1992,70.63685208750604,70.90733182957958,70.35401739599544
Life expectancy,Middle SDI,Male,<1 year,Years,2008,69.77270695972774,70.00160405983327,69.55132781504031
Life expectancy,Middle SDI,Female,<1 year,Years,2008,75.34826989336969,75.54110680180398,75.1375544960672
Life expectancy,High-middle SDI,Male,<1 year,Years,2002,68.3747979888999,68.55485840685945,68.19321771627598
Life expectancy,High-middle SDI,Female,<1 year,Years,2002,75.33387970557122,75.47873047270696,75.17962048756979
Life expectancy,High SDI,Male,<1 year,Years,2002,75.5676173518583,75.58928983761214,75.54413390198795
Life expectancy,High SDI,Female,<1 year,Years,2002,81.46266548171799,81.48181759114532,81.44064640041873
Life expectancy,Low-middle SDI,Male,<1 year,Years,2002,60.96271430005506,61.40848336621976,60.50078875621557
Life expectancy,Low-middle SDI,Female,<1 year,Years,2002,64.17885093742503,64.59312386152565,63.74432766262948
Life expectancy,Low SDI,Male,<1 year,Years,2002,57.525287589235155,57.93319424013307,57.09991153410851
Life expectancy,Low SDI,Female,<1 year,Years,2002,59.450252264997346,59.87666863502902,59.00024676398768
Life expectancy,High-middle SDI,Male,<1 year,Years,1997,67.24100401334265,67.43833361688205,67.05242173936401
Life expectancy,High-middle SDI,Female,<1 year,Years,1997,74.14004129115109,74.29732940652848,73.96776861097791
Life expectancy,High SDI,Male,<1 year,Years,1997,74.31337446559077,74.33794400918896,74.28596066676117
Life expectancy,High SDI,Female,<1 year,Years,1997,80.57718167238599,80.59949132581708,80.55300343852706
Life expectancy,Low-middle SDI,Male,<1 year,Years,1997,59.804707077304236,60.20572994509834,59.38532886326161
Life expectancy,Low-middle SDI,Female,<1 year,Years,1997,62.855279313786106,63.263565136423594,62.43740518903815
Life expectancy,Low SDI,Male,<1 year,Years,1997,55.168006641055705,55.64514589516387,54.69627214737505
Life expectancy,Low SDI,Female,<1 year,Years,1997,57.151391832718275,57.62352909465996,56.65373497088432
Life expectancy,High-middle SDI,Male,<1 year,Years,2011,71.78037639359556,71.9675225728448,71.59040224517642
Life expectancy,High-middle SDI,Female,<1 year,Years,2011,78.10068402796645,78.25793977764862,77.93366147759531
Life expectancy,High SDI,Male,<1 year,Years,2011,77.80101280360459,77.83120581453507,77.76994990164626
Life expectancy,High SDI,Female,<1 year,Years,2011,83.13082451866349,83.15448464377145,83.10590564510818
Life expectancy,Low-middle SDI,Male,<1 year,Years,2011,63.90990254819589,64.39915763272677,63.41079426129121
Life expectancy,Low-middle SDI,Female,<1 year,Years,2011,68.09768507246395,68.57281434730885,67.64585671781548
Life expectancy,Low SDI,Male,<1 year,Years,2011,61.58744885904583,62.04776589911091,61.111203043315925
Life expectancy,Low SDI,Female,<1 year,Years,2011,64.58379146573645,64.98922639605516,64.17324094640682
